product,year,SITE_ID,ffp_radius,agb_Mg_ha
menlove,2009-2019,US-KPL,112.91685837417225,NA
menlove,2009-2019,US-YK1,112.91685837417225,NA
menlove,2009-2019,US-YK2,112.91685837417225,NA
menlove,2009-2019,CA-LP1,277.3841062922484,NA
menlove,2009-2019,US-BMM,112.91685837417225,43.761695861816406
menlove,2009-2019,US-CPk,112.91685837417225,67.41014099121094
menlove,2009-2019,US-GBT,379.4204386878317,76.59161376953125
menlove,2009-2019,US-GLE,301.3380812688923,76.59161376953125
menlove,2009-2019,US-MC1,112.91685837417225,56.64702224731445
menlove,2009-2019,US-MC2,112.91685837417225,56.64702606201172
menlove,2009-2019,US-MG1,112.91685837417225,45.81814193725586
menlove,2009-2019,US-MH1,112.91685837417225,1.7328349351882935
menlove,2009-2019,US-MH2,112.91685837417225,0.7428495287895203
menlove,2009-2019,US-Mj1,112.91685837417225,11.389719009399414
menlove,2009-2019,US-Mj2,112.91685837417225,11.389719009399414
menlove,2009-2019,US-MSR,112.91685837417225,0
menlove,2009-2019,US-MVF,112.91685837417225,0
menlove,2009-2019,US-MVW,112.91685837417225,0
menlove,2009-2019,US-Ne1,127.42318862468201,1.8774465322494507
menlove,2009-2019,US-Ne2,174.61837825605718,1.8774466514587402
menlove,2009-2019,US-Ne3,188.09461849493724,1.8774465322494507
menlove,2009-2019,US-SdH,112.91685837417225,0
menlove,2009-2019,US-Sta,98.55269938276018,8.046165466308594
menlove,2009-2019,US-TEF,112.91685837417225,74.97007751464844
menlove,2009-2019,US-Tur,112.91685837417225,0
menlove,2009-2019,US-xCP,259.58472077167795,0
menlove,2009-2019,US-xSL,236.3717023790103,0
menlove,2009-2019,US-xYE,151.80722231614826,36.56377029418945
menlove,2009-2019,US-A32,76.75436968466758,0.04930311441421509
menlove,2009-2019,US-A39,112.91685837417225,16.14255142211914
menlove,2009-2019,US-A74,83.17685674523882,0.7866505980491638
menlove,2009-2019,US-AaG,112.91685837417225,23.470457077026367
menlove,2009-2019,US-AR1,75.00738776331394,0
menlove,2009-2019,US-AR2,91.71692923294519,2.460270881652832
menlove,2009-2019,US-ARb,92.21716072967163,3.247670888900757
menlove,2009-2019,US-ARc,99.20583739931115,3.247670888900757
menlove,2009-2019,US-ARM,2325.1757743982976,0.7683848738670349
menlove,2009-2019,US-Bd4,112.91685837417225,11.086597442626953
menlove,2009-2019,US-Bd5,112.91685837417225,11.086597442626953
menlove,2009-2019,US-Bd6,112.91685837417225,11.086597442626953
menlove,2009-2019,US-BdA,112.91685837417225,11.08659839630127
menlove,2009-2019,US-BdC,112.91685837417225,11.086597442626953
menlove,2009-2019,US-Cst,112.91685837417225,77.3646469116211
menlove,2009-2019,US-HRA,112.91685837417225,7.4049553871154785
menlove,2009-2019,US-HRC,112.91685837417225,7.4049553871154785
menlove,2009-2019,US-KFB,112.91685837417225,10.135107040405273
menlove,2009-2019,US-KFS,59.36875826960687,25.726390838623047
menlove,2009-2019,US-KLS,50.50260892762121,0.4875640869140625
menlove,2009-2019,US-Kon,66.19892948927331,10.135107040405273
menlove,2009-2019,US-LL1,112.91685837417225,66.876495361328125
menlove,2009-2019,US-LL2,112.91685837417225,42.200626373291016
menlove,2009-2019,US-LL3,112.91685837417225,66.8764877319336
menlove,2009-2019,US-LU1,112.91685837417225,22.562028884887695
menlove,2009-2019,US-Mo1,77.91332687590192,7.4029107093811035
menlove,2009-2019,US-Mo2,74.56870425334228,13.014154434204102
menlove,2009-2019,US-Mo3,71.28256950900598,7.402911186218262
menlove,2009-2019,US-MOz,269.68159730942995,43.08551025390625
menlove,2009-2019,US-OF1,112.91685837417225,11.086596488952637
menlove,2009-2019,US-OF2,112.91685837417225,11.086597442626953
menlove,2009-2019,US-RGA,90.1541336943125,37.8211784362793
menlove,2009-2019,US-RGW,112.91685837417225,29.491052627563477
menlove,2009-2019,US-Wlr,112.91685837417225,4.680122375488281
menlove,2009-2019,US-xDL,413.5866517610664,98.14244842529297
menlove,2009-2019,US-xJE,587.3418354268803,42.20063018798828
menlove,2009-2019,US-xKA,188.9312043866779,12.333368301391602
menlove,2009-2019,US-xKZ,228.50941973295653,10.135107040405273
menlove,2009-2019,US-xLE,112.91685837417225,94.132965087890625
menlove,2009-2019,US-xTA,539.3518168029368,125.90326690673828
menlove,2009-2019,US-xUK,520.136479238636,29.46785545349121
menlove,2009-2019,US-BCM,112.91685837417225,1.0196605920791626
menlove,2009-2019,US-DCS,112.91685837417225,22.513526916503906
menlove,2009-2019,US-DPP,112.91685837417225,34.689674377441406
menlove,2009-2019,US-DPW,112.91685837417225,34.689674377441406
menlove,2009-2019,US-Elm,112.91685837417225,0
menlove,2009-2019,US-Esm,112.91685837417225,8.316816329956055
menlove,2009-2019,US-EvM,112.91685837417225,1.1283162832260132
menlove,2009-2019,US-FBE,112.91685837417225,0
menlove,2009-2019,US-IL1,112.91685837417225,0.4467744529247284
menlove,2009-2019,US-KS1,224.46778281969068,14.147411346435547
menlove,2009-2019,US-KS2,54.998491145556955,8.109508514404297
menlove,2009-2019,US-KS3,59.27164579411809,8.109508514404297
menlove,2009-2019,US-LA3,112.91685837417225,0
menlove,2009-2019,US-ONA,41.118988236380915,20.297887802124023
menlove,2009-2019,US-PAS,112.91685837417225,20.29788589477539
menlove,2009-2019,US-PiU,112.91685837417225,26.2647647857666
menlove,2009-2019,US-SP1,112.91685837417225,68.870758056640625
menlove,2009-2019,US-SP2,112.91685837417225,68.870758056640625
menlove,2009-2019,US-SP3,112.91685837417225,68.870758056640625
menlove,2009-2019,US-SP4,112.91685837417225,68.870758056640625
menlove,2009-2019,US-TaS,112.91685837417225,0
menlove,2009-2019,US-TCS,112.91685837417225,22.513526916503906
menlove,2009-2019,US-xDS,164.20802796461714,34.689674377441406
menlove,2009-2019,US-xSB,469.624199001353,42.7339973449707
menlove,2009-2019,PA-Bar,112.91685837417225,NA
menlove,2009-2019,PA-Bas,112.91685837417225,NA
menlove,2009-2019,PE-BRE,112.91685837417225,NA
menlove,2009-2019,PE-PAN,112.91685837417225,NA
menlove,2009-2019,PE-QFR,436.524877542754,NA
menlove,2009-2019,BR-Ji1,112.91685837417225,NA
menlove,2009-2019,BR-Ji3,112.91685837417225,NA
menlove,2009-2019,PE-AMG,112.91685837417225,NA
menlove,2009-2019,US-BZB,38.39310371495136,NA
menlove,2009-2019,US-BZF,41.26701252888839,NA
menlove,2009-2019,US-BZL,112.91685837417225,NA
menlove,2009-2019,US-BZo,27.63029064949708,NA
menlove,2009-2019,US-BZS,52.347151762551995,NA
menlove,2009-2019,US-EML,98.421055284392,NA
menlove,2009-2019,US-Fcr,23.075976790019286,NA
menlove,2009-2019,US-NGC,65.36232988538745,NA
menlove,2009-2019,US-Prr,112.91685837417225,NA
menlove,2009-2019,US-Rpf,68.15309389764899,NA
menlove,2009-2019,US-Uaf,112.91685837417225,NA
menlove,2009-2019,US-xBN,300.9452134388272,NA
menlove,2009-2019,US-xDJ,333.6136143539984,NA
menlove,2009-2019,US-xHE,239.02320247010505,NA
menlove,2009-2019,CA-EM1,112.91685837417225,NA
menlove,2009-2019,CA-EM2,112.91685837417225,NA
menlove,2009-2019,CA-EM3,112.91685837417225,NA
menlove,2009-2019,CA-MA1,79.46811060972753,NA
menlove,2009-2019,CA-MA2,79.4627865308016,NA
menlove,2009-2019,CA-MA3,112.91685837417225,NA
menlove,2009-2019,CA-Oas,421.9054919952837,NA
menlove,2009-2019,CA-Obs,399.99578241831773,NA
menlove,2009-2019,CA-SF1,134.0755405020901,NA
menlove,2009-2019,CA-SF2,95.26274819126604,NA
menlove,2009-2019,CA-SF3,97.43914555172958,NA
menlove,2009-2019,CA-SJ1,112.91685837417225,NA
menlove,2009-2019,CA-SJ2,112.91685837417225,NA
menlove,2009-2019,US-ALQ,23.749176811863165,59.99502944946289
menlove,2009-2019,US-AMS,112.91685837417225,15.522496223449707
menlove,2009-2019,US-AoL,112.91685837417225,86.01432800292969
menlove,2009-2019,US-Bo1,112.91685837417225,0
menlove,2009-2019,US-Bo2,112.91685837417225,0
menlove,2009-2019,US-CC1,112.91685837417225,59.92250061035156
menlove,2009-2019,US-CC2,112.91685837417225,19.644712448120117
menlove,2009-2019,US-CRT,54.50932352273719,0
menlove,2009-2019,US-CS1,112.91685837417225,19.644712448120117
menlove,2009-2019,US-CS2,261.72755504308645,19.644712448120117
menlove,2009-2019,US-CS3,67.74169273595417,19.644712448120117
menlove,2009-2019,US-CS4,62.2998097821975,19.644712448120117
menlove,2009-2019,US-CS5,112.91685837417225,19.644712448120117
menlove,2009-2019,US-CS6,112.91685837417225,31.035287857055664
menlove,2009-2019,US-CS7,112.91685837417225,31.035287857055664
menlove,2009-2019,US-CS8,112.91685837417225,31.035287857055664
menlove,2009-2019,US-DFC,497.3943625955292,17.99311637878418
menlove,2009-2019,US-DFK,112.91685837417225,17.99311637878418
menlove,2009-2019,US-IB1,112.91685837417225,6.8660888671875
menlove,2009-2019,US-IB2,74.93570216537496,6.8660888671875
menlove,2009-2019,US-INn,112.91685837417225,8.778901100158691
menlove,2009-2019,US-INp,112.91685837417225,8.778901100158691
menlove,2009-2019,US-KL1,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KL2,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KL3,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KM1,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KM2,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KM3,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KM4,112.91685837417225,27.96848487854004
menlove,2009-2019,US-KUO,112.91685837417225,2.6440846920013428
menlove,2009-2019,US-KUT,112.91685837417225,2.644084930419922
menlove,2009-2019,US-Los,204.97332511100473,54.1822624206543
menlove,2009-2019,US-MBP,112.91685837417225,39.964778900146484
menlove,2009-2019,US-Men,112.91685837417225,9.658852577209473
menlove,2009-2019,US-Mi2,112.91685837417225,98.74235534667969
menlove,2009-2019,US-MN1,112.91685837417225,2.317929267883301
menlove,2009-2019,US-MN2,112.91685837417225,2.317929267883301
menlove,2009-2019,US-MN3,112.91685837417225,2.317929267883301
menlove,2009-2019,US-NMj,112.91685837417225,88.61156463623047
menlove,2009-2019,US-NP1,112.91685837417225,7.1576337814331055
menlove,2009-2019,US-NP2,112.91685837417225,7.157634258270264
menlove,2009-2019,US-Oho,231.08339081151485,29.47380256652832
menlove,2009-2019,US-ORv,103.89062199443465,9.224530220031738
menlove,2009-2019,US-OWC,112.91685837417225,22.203001022338867
menlove,2009-2019,US-PFa,11664.3322410131,61.769752502441406
menlove,2009-2019,US-PFb,112.91685837417225,61.99770736694336
menlove,2009-2019,US-PFc,112.91685837417225,61.99771499633789
menlove,2009-2019,US-PFd,112.91685837417225,61.99770736694336
menlove,2009-2019,US-PFe,112.91685837417225,61.997711181640625
menlove,2009-2019,US-PFf,112.91685837417225,61.997711181640625
menlove,2009-2019,US-PFg,112.91685837417225,61.99771499633789
menlove,2009-2019,US-PFh,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFi,112.91685837417225,61.997711181640625
menlove,2009-2019,US-PFj,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFk,112.91685837417225,61.99770736694336
menlove,2009-2019,US-PFL,112.91685837417225,61.99771499633789
menlove,2009-2019,US-PFm,112.91685837417225,61.99771499633789
menlove,2009-2019,US-PFn,112.91685837417225,61.99771499633789
menlove,2009-2019,US-PFo,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFp,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFq,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFr,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFs,112.91685837417225,64.18560791015625
menlove,2009-2019,US-PFt,112.91685837417225,64.18560791015625
menlove,2009-2019,US-Pnp,220.18866577511264,9.658853530883789
menlove,2009-2019,US-Ro1,78.02849016842384,24.374359130859375
menlove,2009-2019,US-Ro2,61.44573101278024,24.374359130859375
menlove,2009-2019,US-Ro3,112.91685837417225,24.374361038208008
menlove,2009-2019,US-Ro4,39.729835171509706,4.8777546882629395
menlove,2009-2019,US-Ro5,86.48131008913752,4.8777546882629395
menlove,2009-2019,US-Ro6,56.325059955449525,4.8777546882629395
menlove,2009-2019,US-Syv,256.00571741370385,91.69926452636719
menlove,2009-2019,US-TrB,112.91685837417225,85.33000946044922
menlove,2009-2019,US-TrS,112.91685837417225,85.33001708984375
menlove,2009-2019,US-UiA,112.91685837417225,0
menlove,2009-2019,US-UiB,112.91685837417225,0
menlove,2009-2019,US-UiC,112.91685837417225,0
menlove,2009-2019,US-UiD,112.91685837417225,0
menlove,2009-2019,US-UiE,112.91685837417225,0
menlove,2009-2019,US-UiF,112.91685837417225,0
menlove,2009-2019,US-UiG,112.91685837417225,0
menlove,2009-2019,US-WCr,177.49327916256107,64.18560791015625
menlove,2009-2019,US-Wi0,112.91685837417225,72.8872299194336
menlove,2009-2019,US-Wi1,112.91685837417225,70.95999908447266
menlove,2009-2019,US-Wi2,112.91685837417225,70.96000671386719
menlove,2009-2019,US-Wi3,105.17319963232629,72.8872299194336
menlove,2009-2019,US-Wi4,112.91685837417225,70.95999908447266
menlove,2009-2019,US-Wi5,43.89183947887083,70.95999908447266
menlove,2009-2019,US-Wi6,47.07759850184564,56.55754470825195
menlove,2009-2019,US-Wi7,112.91685837417225,70.95999908447266
menlove,2009-2019,US-Wi8,112.91685837417225,70.95999908447266
menlove,2009-2019,US-Wi9,108.04213470186642,70.95999908447266
menlove,2009-2019,US-WPT,47.45347010179744,20.2598819732666
menlove,2009-2019,US-xDC,267.7356086330537,0
menlove,2009-2019,US-xNG,260.3367959493135,7.1576337814331055
menlove,2009-2019,US-xST,234.1651581552712,44.22495651245117
menlove,2009-2019,US-xTR,407.26520869191404,44.22495651245117
menlove,2009-2019,US-xUN,466.80718418584513,91.69925689697266
menlove,2009-2019,US-xWD,285.0851543876342,0
menlove,2009-2019,US-Act,112.91685837417225,24.43035888671875
menlove,2009-2019,US-Akn,112.91685837417225,135.7817840576172
menlove,2009-2019,US-BRG,31.579885699644777,118.23438262939453
menlove,2009-2019,US-CwG,112.91685837417225,159.74365234375
menlove,2009-2019,US-Cwt,112.91685837417225,159.74365234375
menlove,2009-2019,US-Dk1,112.91685837417225,74.7008056640625
menlove,2009-2019,US-Dk2,112.91685837417225,74.7008056640625
menlove,2009-2019,US-Dk3,112.91685837417225,74.7008056640625
menlove,2009-2019,US-HB1,73.76932965582985,31.38868522644043
menlove,2009-2019,US-HB2,268.2502834847683,31.388687133789063
menlove,2009-2019,US-HB3,51.02415333409704,31.38868522644043
menlove,2009-2019,US-INa,112.91685837417225,0.9612076282501221
menlove,2009-2019,US-INb,112.91685837417225,12.800681114196777
menlove,2009-2019,US-INc,112.91685837417225,0.9612075686454773
menlove,2009-2019,US-INd,112.91685837417225,6.004423141479492
menlove,2009-2019,US-INe,112.91685837417225,6.004423141479492
menlove,2009-2019,US-INf,112.91685837417225,12.800680160522461
menlove,2009-2019,US-INg,112.91685837417225,0.9612075686454773
menlove,2009-2019,US-INi,112.91685837417225,4.385039329528809
menlove,2009-2019,US-INj,112.91685837417225,4.385039329528809
menlove,2009-2019,US-JRn,112.91685837417225,98.97389221191406
menlove,2009-2019,US-Kyv,112.91685837417225,35.41244125366211
menlove,2009-2019,US-MMS,609.9112822482815,118.23436737060547
menlove,2009-2019,US-NC1,169.85315924952093,82.84978485107422
menlove,2009-2019,US-NC2,112.91685837417225,33.58429718017578
menlove,2009-2019,US-NC3,102.11639024015784,33.58429718017578
menlove,2009-2019,US-NC4,316.62441381895184,64.81290435791016
menlove,2009-2019,US-RRC,112.91685837417225,79.88343048095703
menlove,2009-2019,US-StS,112.91685837417225,31.388683319091797
menlove,2009-2019,US-xBL,85.5380534930453,48.37750244140625
menlove,2009-2019,US-xGR,442.72749206945474,193.20156860351563
menlove,2009-2019,US-xML,276.7950103543482,108.76925659179688
menlove,2009-2019,US-xRN,112.91685837417225,120.57734680175781
menlove,2009-2019,US-xSC,511.4647505670135,106.78276824951172
menlove,2009-2019,PR-xGU,112.91685837417225,NA
menlove,2009-2019,PR-xLA,112.91685837417225,NA
menlove,2009-2019,BR-SGC,112.91685837417225,NA
menlove,2009-2019,BR-Ma2,112.91685837417225,NA
menlove,2009-2019,US-A10,112.91685837417225,NA
menlove,2009-2019,US-Cms,112.91685837417225,NA
menlove,2009-2019,US-NGB,135.34099132851995,NA
menlove,2009-2019,US-xBA,316.3934779590894,NA
menlove,2009-2019,BR-Npw,242.84359825171612,NA
menlove,2009-2019,CL-ACF,112.91685837417225,NA
menlove,2009-2019,CL-SDF,112.91685837417225,NA
menlove,2009-2019,CL-SDP,112.91685837417225,NA
menlove,2009-2019,CA-SCB,112.91685837417225,NA
menlove,2009-2019,CA-SCC,112.91685837417225,NA
menlove,2009-2019,CA-SMC,112.91685837417225,NA
menlove,2009-2019,US-An1,112.91685837417225,NA
menlove,2009-2019,US-An2,112.91685837417225,NA
menlove,2009-2019,US-An3,112.91685837417225,NA
menlove,2009-2019,US-HVs,112.91685837417225,NA
menlove,2009-2019,US-ICh,60.29377496055019,NA
menlove,2009-2019,US-ICs,56.01826732585686,NA
menlove,2009-2019,US-ICt,68.88123965637688,NA
menlove,2009-2019,US-Sag,112.91685837417225,NA
menlove,2009-2019,US-xTL,112.91685837417225,NA
menlove,2009-2019,CA-ARB,174.2973221121467,NA
menlove,2009-2019,CA-ARF,123.53633405387878,NA
menlove,2009-2019,CA-KLP,112.91685837417225,NA
menlove,2009-2019,CA-Man,522.3270028322552,NA
menlove,2009-2019,CA-NS1,194.32176578957947,NA
menlove,2009-2019,CA-NS2,166.95649139756972,NA
menlove,2009-2019,CA-NS3,109.77308488847869,NA
menlove,2009-2019,CA-NS4,111.29969899010939,NA
menlove,2009-2019,CA-NS5,77.90324217834313,NA
menlove,2009-2019,CA-NS6,82.06673050152301,NA
menlove,2009-2019,CA-NS7,58.34166093449676,NA
menlove,2009-2019,CA-Cbo,352.57736415129256,NA
menlove,2009-2019,CA-ER1,107.33860199601996,NA
menlove,2009-2019,CA-ER2,112.91685837417225,NA
menlove,2009-2019,CA-Gro,476.73475902812083,NA
menlove,2009-2019,CA-Mer,112.91685837417225,NA
menlove,2009-2019,CA-TP1,149.64392891354782,NA
menlove,2009-2019,CA-TP2,112.91685837417225,NA
menlove,2009-2019,CA-TP3,113.83474870157573,NA
menlove,2009-2019,CA-TP4,234.87868714985134,NA
menlove,2009-2019,CA-TPD,324.68069929670196,NA
menlove,2009-2019,US-Bar,119.78393595251369,151.9769744873047
menlove,2009-2019,US-CLF,112.91685837417225,95.92797088623047
