product,year,SITE_ID,ffp_radius,agb_Mg_ha
nbcd,2000,AR-CCa,1045.9351844232294,NA
nbcd,2000,AR-CCg,1045.9351844232294,NA
nbcd,2000,AR-TF1,160.35001784493488,NA
nbcd,2000,AR-TF2,1045.9351844232294,NA
nbcd,2000,BR-Cax,1045.9351844232294,NA
nbcd,2000,BR-CST,465.76045383271133,NA
nbcd,2000,BR-Ji1,1045.9351844232294,NA
nbcd,2000,BR-Ji3,1045.9351844232294,NA
nbcd,2000,BR-Ma2,1045.9351844232294,NA
nbcd,2000,BR-Ma3,1045.9351844232294,NA
nbcd,2000,BR-Moj,1045.9351844232294,NA
nbcd,2000,BR-Npw,4156.4166048086945,NA
nbcd,2000,BR-Sa1,42114.21739011818,NA
nbcd,2000,BR-Sa3,60320.74334215012,NA
nbcd,2000,BR-SGC,1045.9351844232294,NA
nbcd,2000,CA-AF1,1045.9351844232294,NA
nbcd,2000,CA-ARB,1140.9890527435334,NA
nbcd,2000,CA-ARF,798.4152001348126,NA
nbcd,2000,CA-BOU,1045.9351844232294,NA
nbcd,2000,CA-Ca1,9917.823807579553,NA
nbcd,2000,CA-Ca2,67.13043506027506,NA
nbcd,2000,CA-Ca3,1045.9351844232294,NA
nbcd,2000,CA-Cbo,13076.833198723736,NA
nbcd,2000,CA-CF1,1045.9351844232294,NA
nbcd,2000,CA-CF2,1045.9351844232294,NA
nbcd,2000,CA-CF3,1045.9351844232294,NA
nbcd,2000,CA-Cha,1045.9351844232294,NA
nbcd,2000,CA-DB2,300.69797953628193,NA
nbcd,2000,CA-DBB,72.88369878542424,NA
nbcd,2000,CA-DL1,1045.9351844232294,NA
nbcd,2000,CA-DL2,1045.9351844232294,NA
nbcd,2000,CA-DSM,1045.9351844232294,NA
nbcd,2000,CA-EM1,1045.9351844232294,NA
nbcd,2000,CA-EM2,1045.9351844232294,NA
nbcd,2000,CA-EM3,1045.9351844232294,NA
nbcd,2000,CA-ER1,497.201125747193,NA
nbcd,2000,CA-ER2,1045.9351844232294,NA
nbcd,2000,CA-Gro,14538.001277345276,NA
nbcd,2000,CA-HPC,1045.9351844232294,NA
nbcd,2000,CA-KLP,1045.9351844232294,NA
nbcd,2000,CA-LP1,6132.691627299235,NA
nbcd,2000,CA-MA1,235.83040687669495,NA
nbcd,2000,CA-MA2,235.81460708367464,NA
nbcd,2000,CA-MA3,1045.9351844232294,NA
nbcd,2000,CA-Man,16356.259742479562,NA
nbcd,2000,CA-Mer,1045.9351844232294,NA
nbcd,2000,CA-Na1,1045.9351844232294,NA
nbcd,2000,CA-NS1,3537.810135107458,NA
nbcd,2000,CA-NS2,2127.719740976053,NA
nbcd,2000,CA-NS3,1099.1871234103087,NA
nbcd,2000,CA-NS4,1317.1050653491827,NA
nbcd,2000,CA-NS5,602.7781983761578,NA
nbcd,2000,CA-NS6,522.9356495928197,NA
nbcd,2000,CA-NS7,424.86587853790326,NA
nbcd,2000,CA-Oas,13826.133862217232,NA
nbcd,2000,CA-Obs,10195.218112627479,NA
nbcd,2000,CA-Qc2,1045.9351844232294,NA
nbcd,2000,CA-Qfo,4666.644173159213,NA
nbcd,2000,CA-RBM,1045.9351844232294,NA
nbcd,2000,CA-SCB,1045.9351844232294,NA
nbcd,2000,CA-SCC,1045.9351844232294,NA
nbcd,2000,CA-SF1,1482.8899171925564,NA
nbcd,2000,CA-SF2,842.5461338901958,NA
nbcd,2000,CA-SF3,836.6047709479343,NA
nbcd,2000,CA-SJ1,1045.9351844232294,NA
nbcd,2000,CA-SJ2,1045.9351844232294,NA
nbcd,2000,CA-SMC,1045.9351844232294,NA
nbcd,2000,CA-TP1,1893.4636854522055,NA
nbcd,2000,CA-TP2,1045.9351844232294,NA
nbcd,2000,CA-TP3,1507.7207933940526,NA
